X,Y,OBJECTID,GlobalID,case_number,crime_category,crime_code,crime_description,crime_type,reported_block_address,city_of_incident,city,district,reported_date,reported_year,reported_month,reported_day,reported_hour,reported_dayofwk,latitude,longitude,agency,updated_date
-8742829.27045806,4283506.58299644,668058,d3c26258-ad93-4ac5-acd2-26ff6f483b91,P22007558,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,7500 BLOCK RAMBLE WAY,RALEIGH,RALEIGH,North,2022/02/11 03:42:00+00,2022,2,10,22,Thursday,35.8755198280001,-78.538171601,RPD,2022/02/20 18:33:27.707+00
-8745677.52434534,4272961.41991002,668074,66088643-b798-47eb-b1e6-a2c10935a36b,P22007575,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,4300 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2022/02/11 07:17:00+00,2022,2,11,2,Friday,35.798724646,-78.563757901,RPD,2022/02/12 17:08:38.417+00
-8754987.70992033,4270964.29320723,668082,598e05ca-5b0e-422d-a5e5-c7ea260edd9e,P22006755,LARCENY,35A,Larceny/Pocket-Picking,CRIMES AGAINST PROPERTY,300 BLOCK GLENWOOD AV,RALEIGH,RALEIGH,Downtown,2022/02/06 18:06:00+00,2022,2,6,13,Sunday,35.7841721940001,-78.647392721,RPD,2022/02/12 15:55:19.150+00
-8754964.04796069,4271488.07696641,668083,0a0803cb-00bc-49a0-9d8a-5cb92db6d7d5,P22006756,LARCENY,35A,Larceny/Pocket-Picking,CRIMES AGAINST PROPERTY,600 BLOCK GLENWOOD AV,RALEIGH,RALEIGH,Downtown,2022/02/06 14:48:00+00,2022,2,6,9,Sunday,35.7879891040001,-78.647180162,RPD,2022/02/12 17:04:03.420+00
-8751477.05096155,4270402.82790215,668084,7ff6e77f-1198-434d-8e76-d1140ed20144,P22007062,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,1600 BLOCK NEW BERN AV,RALEIGH,RALEIGH,Southeast,2022/02/08 19:20:00+00,2022,2,8,14,Tuesday,35.7800804880001,-78.615855935,RPD,2022/02/14 23:36:17.163+00
-8751999.67315033,4273667.43779717,668120,fe8a13f6-b181-4313-b9dc-905f7caee35b,P22007623,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,1800 BLOCK CAPITAL BLVD,RALEIGH,RALEIGH,Northeast,2022/02/11 14:34:00+00,2022,2,11,9,Friday,35.8038685450001,-78.6205507299999,RPD,2022/02/13 23:26:10.950+00
-8772639.33355438,4286420.15582921,668122,6e7b8b73-de50-4171-a062-2fa386348348,P22007627,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,9900 BLOCK NEW PINNACLE LN,RALEIGH,RALEIGH,Northwest,2022/02/11 15:28:00+00,2022,2,11,10,Friday,35.8967248210001,-78.8059599539999,RPD,2022/02/17 05:57:08.680+00
-8754550.61215862,4270175.09263294,668125,ecbbd135-6a5c-4900-ac0d-bbe3fb90e65e,P22007634,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,300 BLOCK W HARGETT ST,RALEIGH,RALEIGH,Downtown,2022/02/11 16:22:00+00,2022,2,11,11,Friday,35.778420796,-78.643466205,RPD,2022/02/17 12:23:00.720+00
-8772190.91126088,4286723.63624954,668127,f7496620-74ea-405c-9063-4635df790936,P22007639,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,10100 BLOCK RAVEN TREE DR,RALEIGH,RALEIGH,Northwest,2022/02/11 15:53:00+00,2022,2,11,10,Friday,35.8989332260001,-78.801931708,RPD,2022/02/17 05:57:49.380+00
-8751069.31950415,4278170.508473,668130,d0c1aa99-d922-4c9a-9dbe-46f18309c8a4,P22007652,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,1700 BLOCK NEW HOPE CHURCH RD,RALEIGH,RALEIGH,North,2022/02/11 17:14:00+00,2022,2,11,12,Friday,35.83666914,-78.612193221,RPD,2022/02/18 05:20:11.089+00
